DATE,TIME,SOC,RSOC,CURRENT_NOW,VOLTAGE_NOW,CP_VBAT,IC_V,CP_VBUS,CP-IBUS,VBUS_VOLTAGE(uV),TEMP,BOARD_TEMP,Thermal_TEMP,Thermal_point,STATUS,TYPE,FFC_VOLTAGE_MAX,FFC_CHG,Charger_Full,M_CP,S_CP,CP_CURRENT,SOH,AverageCurrent,QMAX,RM,TRUE_RM,FCC,TRUE_FCC,CYCLE,CURR_MAX,VOLT_MAX,CHARGER_MDOE
Wed Jan 19 21:42:47 CST 2022,1,1,1,345.000,3.584,3.584,3.584,4.901,3,4900,22.3,26.3,25.9,0,Charging,USB,4.4,0,4755,0,0,4,96,345000,4939,47,28,4755,4705,7,12.200,4.450,1.367
Wed Jan 19 21:42:47 CST 2022,1,1,1,275.000,3.582,3.582,3.582,4.897,3,4900,22.3,26.3,25.8,0,Charging,USB,4.4,0,4755,0,0,4,96,275000,4939,47,28,4755,4705,7,12.200,4.450,1.367
Wed Jan 19 21:42:48 CST 2022,2,1,1,275.000,3.582,3.582,3.582,4.897,3,4900,22.3,26.3,25.8,0,Charging,USB,4.4,0,4755,0,0,4,96,264000,4939,47,29,4755,4705,7,12.200,4.450,1.367
Wed Jan 19 21:42:49 CST 2022,3,1,1,264.000,3.582,3.582,3.582,4.897,3,4900,22.3,26.3,25.8,0,Charging,USB,4.4,0,4755,0,0,6,96,271000,4939,47,29,4755,4705,7,12.200,4.450,1.367
Wed Jan 19 21:42:50 CST 2022,4,1,1,271.000,3.581,3.581,3.581,4.897,3,4900,22.3,26.3,25.7,0,Charging,USB,4.4,0,4755,0,0,4,96,271000,4939,47,29,4755,4705,7,12.200,4.450,1.367
Wed Jan 19 21:42:51 CST 2022,5,1,1,271.000,3.583,3.583,3.583,4.897,3,4900,22.4,26.3,25.7,0,Charging,USB,4.4,0,4755,0,0,4,96,271000,4939,47,29,4755,4705,7,12.200,4.450,1.366
Wed Jan 19 21:42:52 CST 2022,6,1,1,286.000,3.584,3.584,3.584,4.920,3,4900,22.4,25.6,25.6,0,Charging,USB,4.4,0,4755,0,0,4,96,286000,4939,47,29,4755,4705,7,12.200,4.450,1.372
Wed Jan 19 21:42:53 CST 2022,6,1,1,271.000,3.583,3.583,3.583,4.920,3,4900,22.3,25.6,25.6,0,Charging,USB,4.4,0,4755,0,0,4,96,271000,4939,47,29,4755,4705,7,12.200,4.450,1.373
Wed Jan 19 21:42:53 CST 2022,7,1,1,271.000,3.581,3.581,3.581,4.923,3,4900,22.4,25.6,25.6,0,Charging,Unknown,4.4,0,4755,0,0,4,96,257000,4939,47,29,4755,4705,7,12.200,4.450,1.374
Wed Jan 19 21:42:54 CST 2022,8,1,1,257.000,3.581,3.581,3.581,.277,3,2600,22.4,25.6,25.8,0,Charging,Unknown,4.4,0,4755,0,0,4,96,257000,4939,47,29,4755,4705,7,12.200,4.450,.077
Wed Jan 19 21:42:55 CST 2022,9,1,1,-635.000,3.576,3.576,3.576,.157,3,2600,22.4,25.6,26.1,0,Discharging,Unknown,4.4,0,4755,0,0,4,96,-635000,4939,47,29,4755,4705,7,12.200,4.450,.043
Wed Jan 19 21:42:55 CST 2022,9,1,1,-334.000,3.561,3.561,3.561,.157,3,2600,22.3,25.6,26.0,0,Charging,USB,4.4,0,4755,0,0,4,96,-334000,4939,47,29,4755,4705,7,12.200,4.450,.044
Wed Jan 19 21:42:56 CST 2022,10,1,1,-334.000,3.561,3.561,3.561,.157,3,2600,22.3,25.6,26.1,0,Charging,USB,4.4,0,4755,0,0,4,96,-183000,4939,47,29,4755,4705,7,12.200,4.450,.044
Wed Jan 19 21:42:56 CST 2022,10,1,1,-183.000,3.560,3.560,3.560,4.942,3,4900,22.4,25.6,26.2,0,Charging,USB,4.4,0,4755,0,0,4,96,-183000,4939,47,29,4755,4705,7,12.200,4.450,1.388
Wed Jan 19 21:42:57 CST 2022,11,1,1,-183.000,3.560,3.560,3.560,4.942,3,4900,22.4,25.6,26.3,0,Charging,USB,4.4,0,4755,0,0,4,96,-183000,4939,47,29,4755,4705,7,12.200,4.450,1.388
Wed Jan 19 21:42:57 CST 2022,11,1,1,-183.000,3.560,3.560,3.560,4.942,3,4900,22.4,25.6,26.4,0,Charging,USB,4.4,0,4755,0,0,4,96,-29000,4939,47,29,4755,4705,7,12.200,4.450,1.388
Wed Jan 19 21:42:57 CST 2022,11,1,1,-29.000,3.570,3.570,3.570,4.942,3,4900,22.4,25.6,26.4,0,Charging,USB,4.4,0,4755,0,0,4,96,-29000,4939,47,29,4755,4705,7,12.200,4.450,1.384
Wed Jan 19 21:42:58 CST 2022,12,1,1,-29.000,3.570,3.570,3.570,4.942,3,4900,22.4,25.6,26.4,0,Charging,USB,4.4,0,4755,0,0,4,96,121000,4939,47,29,4755,4705,7,12.200,4.450,1.384
Wed Jan 19 21:42:59 CST 2022,13,1,1,121.000,3.573,3.573,3.573,4.942,3,5000,22.4,25.6,26.3,0,Charging,USB,4.4,0,4755,0,0,4,96,121000,4939,47,29,4755,4705,7,12.200,4.450,1.383
